Kunpy     ;Kunnr     ;Name1                              ;Stras                              ;Wadat_D ;Wadat_IS;Vbeln_D   ;LineD ;Legaldoc_D      ;Wadat_B ;Vbeln_B   ;LineB ;Legaldoc_B      ;Wadat_O ;Erzet_;Vbeln_O   ;LineO ;Matnr             ;Matkl    ;Maktx                                   ;Qty_O        ;Qty_B        ;Unt;Kzwi1        ;Kzwi2        ;Mwsbp        ;Totalval     ;
0000995036;0000995036;***********************************;***********************************;20180925;20180926;2105466342;000001;да    ая 0017030;20180925;3300045071;000001;еса   ей 0032123;20180925;092146;1300086496;000001;000000000001183202;118300   ;****************************************;            1;            1;йиб;        13,56;        13,56;         1,76;        15,32;
0000100008;0000215117;***********************************;***********************************;20180926;20180926;2105467177;000001;тда   бм 0000016;20180926;3104884997;000010;тда   бм 0000016;20180925;105651;1104272303;000010;000000000002552104;255200   ;****************************************;         3,68;         3,68;йик;        48,94;        48,94;         6,36;         55,3;
0000100008;0000201638;***********************************;***********************************;20180926;20180926;2105467178;000001;тда   бм 0000017;20180926;3104884998;000010;тда   бм 0000017;20180925;105642;1104272287;000010;000000000002551101;255100   ;****************************************;        1,769;        1,769;йик;        31,67;        31,67;         4,12;        35,79;
0000100008;0000201638;***********************************;***********************************;20180926;20180926;2105467178;000002;тда   бм 0000017;20180926;3104884998;000020;тда   бм 0000017;20180925;105642;1104272287;000020;000000000002552104;255200   ;****************************************;        3,405;        3,405;йик;        45,29;        45,29;         5,88;        51,17;
0000103519;0000215094;***********************************;***********************************;20180926;20180926;2105467179;000001;тда   бм 0000018;20180926;3104884999;000010;тда   бм 0000018;20180925;105650;1104272302;000010;000000000002551101;255100   ;****************************************;         3,12;         3,12;йик;        54,51;        46,88;         6,09;        52,97;
0000103519;0000212792;***********************************;***********************************;20180926;20180926;2105467180;000001;тда   бм 0000019;20180926;3104885000;000010;тда   бм 0000019;20180925;105645;1104272290;000010;000000000002552104;255200   ;****************************************;         2,06;         2,06;йик;        25,54;        21,96;         2,85;        24,81;
0000103519;0000213032;***********************************;***********************************;20180926;20180926;2105467181;000001;тда   бм 0000020;20180926;3104885001;000010;тда   бм 0000020;20180925;105645;1104272291;000010;000000000002552101;255200   ;****************************************;         1,16;         1,16;йик;         26,1;        22,45;         2,92;        25,37;
0000103519;0000213032;***********************************;***********************************;20180926;20180926;2105467181;000002;тда   бм 0000020;20180926;3104885001;000020;тда   бм 0000020;20180925;105645;1104272291;000020;000000000002552102;255200   ;****************************************;         1,45;         1,45;йик;        32,63;        28,06;         3,65;        31,71;
0000103519;0000213032;***********************************;***********************************;20180926;20180926;2105467181;000003;тда   бм 0000020;20180926;3104885001;000030;тда   бм 0000020;20180925;105645;1104272291;000030;000000000002552104;255200   ;****************************************;         0,83;         0,83;йик;        10,29;         8,85;         1,15;           10;
0000103519;0000213032;***********************************;***********************************;20180926;20180926;2105467181;000004;тда   бм 0000020;20180926;3104885001;000040;тда   бм 0000020;20180925;105645;1104272291;000040;000000000002552106;255200   ;****************************************;          1,9;          1,9;йик;        19,95;        17,16;         2,23;        19,39;
