Wadat   ;Emp;Nbr     ;Empt2   ;Mat               ;Wrk ;Empt3           ;Qty        ;Empt4;Kunnr          ;mvtext                                  ;Vbeln     ;Vbeln1    ;Pcki;Nbrtu     ;Empt5                          ;mvtext1                                 ;Posnr ;Empt6                                                  ;Koli;
00000000;   ;        ;        ;9254301           ;2360;                ;00000000036;     ;0000215748     ;                                        ;2105386572;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;9254307           ;2360;                ;00000000012;     ;0000215748     ;                                        ;2105386572;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
00000000;   ;        ;        ;9461905           ;2360;                ;00000000014;     ;0000215372     ;                                        ;2105386573;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1121103           ;2360;                ;00000000024;     ;0000205143     ;                                        ;2105386574;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1121302           ;2360;                ;00000000024;     ;0000205143     ;                                        ;2105386574;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;1621001           ;2360;                ;00000000002;     ;0000205143     ;                                        ;2105386574;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
00000000;   ;        ;        ;1461208           ;2360;                ;00000000024;     ;0000205143     ;                                        ;2105386575;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1462111           ;2360;                ;00000000024;     ;0000205789     ;                                        ;2105386576;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1621001           ;2360;                ;00000000001;     ;0000208912     ;                                        ;2105386577;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1461213           ;2360;                ;00000000030;     ;0000214209     ;                                        ;2105386578;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1461603           ;2360;                ;00000000012;     ;0000214209     ;                                        ;2105386578;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;1462111           ;2360;                ;00000000048;     ;0000214209     ;                                        ;2105386578;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
00000000;   ;        ;        ;1462114           ;2360;                ;00000000120;     ;0000214209     ;                                        ;2105386578;          ;    ;          ;                               ;                                        ;000004;                                                       ;  0 ;
00000000;   ;        ;        ;1462116           ;2360;                ;00000000096;     ;0000214209     ;                                        ;2105386578;          ;    ;          ;                               ;                                        ;000005;                                                       ;  0 ;
00000000;   ;        ;        ;9461906           ;2360;                ;00000000028;     ;0000214209     ;                                        ;2105386578;          ;    ;          ;                               ;                                        ;000008;                                                       ;  0 ;
00000000;   ;        ;        ;9461907           ;2360;                ;00000000028;     ;0000214209     ;                                        ;2105386578;          ;    ;          ;                               ;                                        ;000010;                                                       ;  0 ;
00000000;   ;        ;        ;1462113           ;2360;                ;00000000060;     ;0000214209     ;                                        ;2105386579;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;9254301           ;2360;                ;00000000120;     ;0000214209     ;                                        ;2105386579;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;9254302           ;2360;                ;00000000060;     ;0000214209     ;                                        ;2105386579;          ;    ;          ;                               ;                                        ;000004;                                                       ;  0 ;
00000000;   ;        ;        ;9254303           ;2360;                ;00000000060;     ;0000214209     ;                                        ;2105386579;          ;    ;          ;                               ;                                        ;000006;                                                       ;  0 ;
00000000;   ;        ;        ;9254304           ;2360;                ;00000000060;     ;0000214209     ;                                        ;2105386579;          ;    ;          ;                               ;                                        ;000008;                                                       ;  0 ;
00000000;   ;        ;        ;9254305           ;2360;                ;00000000060;     ;0000214209     ;                                        ;2105386579;          ;    ;          ;                               ;                                        ;000010;                                                       ;  0 ;
00000000;   ;        ;        ;9254307           ;2360;                ;00000000024;     ;0000214209     ;                                        ;2105386579;          ;    ;          ;                               ;                                        ;000014;                                                       ;  0 ;
00000000;   ;        ;        ;9254308           ;2360;                ;00000000024;     ;0000214209     ;                                        ;2105386579;          ;    ;          ;                               ;                                        ;000016;                                                       ;  0 ;
00000000;   ;        ;        ;9254309           ;2360;                ;00000000024;     ;0000214209     ;                                        ;2105386579;          ;    ;          ;                               ;                                        ;000018;                                                       ;  0 ;
